,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
0,2020-04-06 0800,11.0,31.4,-20.4,-62.962962962963,7.841612907389814,3.9111328125,7.4060455628667725,3.9111328125,122220301320.0,122220303122.0,1
1,2020-04-06 0800,63.0,52.2,10.8,20.300751879699,7.580325587602061,3.9111328125,7.493194291140946,3.9111328125,122220303102.0,122220303120.0,1
2,2020-04-06 0800,50.0,35.8,14.2,38.586956521739005,7.580325587602061,3.9111328125,7.4060455628667725,3.9111328125,122220303102.0,122220303122.0,1
3,2020-04-06 0800,2233.0,1643.8,589.2,35.821984435798,7.318879600953956,3.8232421875,7.318879600953956,3.8232421875,122220303211.0,122220303211.0,1
4,2020-04-06 0800,181.0,180.2,0.80000000000001,0.4415011037527701,7.318879600953956,3.8232421875,7.4060455628667725,3.8232421875,122220303211.0,122220303033.0,1
5,2020-04-06 0800,204.0,269.4,-65.4,-24.186390532544,7.4060455628667725,3.9111328125,7.4060455628667725,3.8232421875,122220303122.0,122220303033.0,1
6,2020-04-06 0800,61.0,72.4,-11.4,-15.531335149863999,7.4060455628667725,3.9111328125,7.318879600953956,3.8232421875,122220303122.0,122220303211.0,1
7,2020-04-06 0800,37.0,33.4,3.6,10.46511627907,7.318879600953956,3.9111328125,7.318879600953956,3.9990234375,122220303300.0,122220303301.0,1
8,2020-04-06 0800,41.0,35.8,5.2,14.130434782609,7.318879600953956,3.9111328125,7.4060455628667725,3.9990234375,122220303300.0,122220303123.0,1
9,2020-04-06 0800,18.0,19.2,-1.2,-5.940594059405901,7.318879600953956,3.9111328125,7.493194291140946,3.9111328125,122220303300.0,122220303120.0,1
10,2020-04-06 0800,661.0,799.0,-138.0,-17.25,7.318879600953956,3.9111328125,7.4060455628667725,3.9111328125,122220303300.0,122220303122.0,1
11,2020-04-06 0800,16.0,20.8,-4.8,-22.018348623853,7.4060455628667725,3.9111328125,7.493194291140946,3.8232421875,122220303122.0,122220303031.0,1
12,2020-04-06 0800,4143.0,3223.0,920.0,28.535980148883,7.318879600953956,3.9111328125,7.318879600953956,3.9111328125,122220303300.0,122220303300.0,1
13,2020-04-06 0800,163.0,159.8,3.2,1.9900497512438,7.318879600953956,3.9111328125,7.318879600953956,3.8232421875,122220303300.0,122220303211.0,1
14,2020-04-06 0800,130.0,146.4,-16.4,-11.12618724559,7.318879600953956,3.9111328125,7.4060455628667725,3.8232421875,122220303300.0,122220303033.0,1
15,2020-04-06 0800,186.0,249.6,-63.6,-25.379090183558997,7.4060455628667725,3.9111328125,7.318879600953956,3.9111328125,122220303122.0,122220303300.0,1
16,2020-04-06 0800,7772.0,7901.8,-129.8,-1.6424558384369998,7.4060455628667725,3.9111328125,7.4060455628667725,3.9111328125,122220303122.0,122220303122.0,1
17,2020-04-06 0800,95.0,135.0,-40.0,-29.411764705882,7.493194291140946,3.8232421875,7.4060455628667725,3.9111328125,122220303031.0,122220303122.0,1
18,2020-04-06 0800,334.0,240.2,93.8,38.888888888889,7.493194291140946,3.8232421875,7.493194291140946,3.8232421875,122220303031.0,122220303031.0,1
19,2020-04-06 0800,61.0,52.0,9.0,16.981132075472,7.493194291140946,3.8232421875,7.4060455628667725,3.8232421875,122220303031.0,122220303033.0,1
20,2020-04-06 0800,19.0,20.4,-1.4,-6.5420560747662995,7.4060455628667725,3.8232421875,7.4060455628667725,3.9990234375,122220303033.0,122220303123.0,1
21,2020-04-06 0800,25.0,22.0,3.0,13.04347826087,7.4060455628667725,3.8232421875,7.493194291140946,3.9111328125,122220303033.0,122220303120.0,1
