,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.012,35.782) → (0.012,35.784)",0.18039387000509002,57169.48567684146,"(0.012,35.782)","(0.012,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.017,35.775) → (0.016,35.777)",0.17031806939488,57015.59878324308,"(0.017,35.775)","(0.016,35.777)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.779) → (0.019,35.782)",0.29152368852899996,57180.937822871376,"(0.02,35.779)","(0.019,35.782)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.02,35.789) → (0.019,35.792)",0.28103013604868,57035.76576934975,"(0.02,35.789)","(0.019,35.792)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.783) → (0.02,35.784)",0.20003398764531002,57038.12197428749,"(0.021,35.783)","(0.02,35.784)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.021,35.783) → (0.02,35.785)",0.17667695429816,57183.20486959993,"(0.021,35.783)","(0.02,35.785)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.022,35.783) → (0.022,35.786)",0.34290523630087005,57113.15291547988,"(0.022,35.783)","(0.022,35.786)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.023,35.773) → (0.022,35.776)",0.33093442444176,57016.107779526814,"(0.023,35.773)","(0.022,35.776)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.027,35.78) → (0.026,35.781)",0.13196306506104,56991.219267692344,"(0.027,35.78)","(0.026,35.781)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.537,35.836) → (0.535,35.837)",0.24243109267683,56149.52437665706,"(0.537,35.836)","(0.535,35.837)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.538,35.826) → (0.534,35.826)",0.45631088366415,55984.94804601887,"(0.538,35.826)","(0.534,35.826)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.542,35.819) → (0.54,35.818)",0.28703248778937,56004.75048067749,"(0.542,35.819)","(0.54,35.818)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.55,35.855) → (0.548,35.85)",0.5330145819822599,56147.29831052735,"(0.55,35.855)","(0.548,35.85)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.552,35.826) → (0.552,35.825)",0.16207431888035997,55985.44784135749,"(0.552,35.826)","(0.552,35.825)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.556,35.833) → (0.554,35.832)",0.24415954025911,56007.06409333507,"(0.556,35.833)","(0.554,35.832)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.556,35.837) → (0.554,35.836)",0.23894872395087,56136.05318087542,"(0.556,35.837)","(0.554,35.836)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.83) → (0.556,35.831)",0.30510618607568,56080.73872684141,"(0.558,35.83)","(0.556,35.831)",Nandi North District,Nandi North District,Baringo,Baringo
"(0.558,35.831) → (0.556,35.833)",0.26617155009578003,55961.0092303154,"(0.558,35.831)","(0.556,35.833)",Nandi North District,Nandi North District,Baringo,Baringo
"(-0.74,35.272) → (-0.741,35.271)",0.25515308904424,129127.36717842413,"(-0.74,35.272)","(-0.741,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.74,35.284) → (-0.742,35.283)",0.26991399271842004,128969.18044471703,"(-0.74,35.284)","(-0.742,35.283)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.742,35.282) → (-0.744,35.28)",0.26494147167977,129122.2478820154,"(-0.742,35.282)","(-0.744,35.28)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.744,35.276) → (-0.746,35.273)",0.29708963214159007,128794.42986093946,"(-0.744,35.276)","(-0.746,35.273)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.273) → (-0.746,35.27)",0.31429145024010996,128750.03947611152,"(-0.746,35.273)","(-0.746,35.27)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.746,35.277) → (-0.748,35.275)",0.35520321727903004,129096.387396078,"(-0.746,35.277)","(-0.748,35.275)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.273) → (-0.748,35.271)",0.24995491944155998,128693.83786912738,"(-0.748,35.273)","(-0.748,35.271)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.748,35.278) → (-0.75,35.276)",0.31628570015001,128799.75048857543,"(-0.748,35.278)","(-0.75,35.276)",Central Kisii,Central Kisii,Bomet,Bomet
"(-0.749,35.279) → (-0.751,35.277)",0.26306765231758,128748.8900940478,"(-0.749,35.279)","(-0.751,35.277)",Central Kisii,Trans Mara District,Bomet,Bomet
"(0.621,34.629) → (0.622,34.628)",0.15195413573355998,288531.23740572325,"(0.621,34.629)","(0.622,34.628)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.622,34.626) → (0.624,34.627)",0.31720585818721997,289253.68113435153,"(0.622,34.626)","(0.624,34.627)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.622,34.633) → (0.624,34.632)",0.22214686805726,288293.976859563,"(0.622,34.633)","(0.624,34.632)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.622,34.635) → (0.624,34.635)",0.21448714297233998,288519.3183820469,"(0.622,34.635)","(0.624,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.623,34.635) → (0.625,34.633)",0.31686392174302,288419.87709730264,"(0.623,34.635)","(0.625,34.633)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.625,34.635) → (0.627,34.635)",0.2592110567611,288417.3023048218,"(0.625,34.635)","(0.627,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.626,34.635) → (0.628,34.635)",0.24366954965164003,289195.74967113725,"(0.626,34.635)","(0.628,34.635)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.628,34.636) → (0.63,34.637)",0.21187073703131,288910.786548588,"(0.628,34.636)","(0.63,34.637)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.629,34.637) → (0.63,34.638)",0.19619890716297,289265.14914513455,"(0.629,34.637)","(0.63,34.638)",Butere/Mumias District,Butere/Mumias District,Bungoma,Bungoma
"(0.838,34.625)",0.0,12814.562949978923,"(0.838,34.625)","(0.838,34.625)",Lugari District,Lugari District,Bungoma,Bungoma
"(0.832,34.607) → (0.831,34.607)",0.17875551844066,12780.183233299575,"(0.832,34.607)","(0.831,34.607)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.606) → (0.833,34.603)",0.316684353922,12774.60446347406,"(0.833,34.606)","(0.833,34.603)",Teso District,Teso District,Bungoma,Bungoma
"(0.833,34.611) → (0.833,34.609)",0.22992879509969,12817.638112491668,"(0.833,34.611)","(0.833,34.609)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.597)",0.0,12817.129953065889,"(0.834,34.597)","(0.834,34.597)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.6) → (0.834,34.598)",0.18437681809692003,12785.11772380992,"(0.834,34.6)","(0.834,34.598)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.6)",0.046980636766187994,12784.589579536098,"(0.834,34.6)","(0.834,34.6)",Teso District,Teso District,Bungoma,Bungoma
"(0.834,34.602)",0.0,12801.935939116964,"(0.834,34.602)","(0.834,34.602)",Teso District,Teso District,Bungoma,Bungoma
"(0.839,34.624) → (0.84,34.624)",0.13828098470973998,12780.069141580154,"(0.839,34.624)","(0.84,34.624)",Teso District,Teso District,Bungoma,Bungoma
"(0.394,34.141) → (0.393,34.142)",0.10148646490892999,143364.028801375,"(0.394,34.141)","(0.393,34.142)",Teso District,Teso District,Busia,Busia
"(0.394,34.145)",0.018416034289933998,143846.97739793066,"(0.394,34.145)","(0.394,34.145)",Teso District,Teso District,Busia,Busia
